seat,champion,specialization_family,usually_choose,alternative,rule_of_thumb,tags,priority_for_rules,notes_for_cursor
2,Blooshi,Tank / Support,Tank route,Damage/support route,Tank/spec voor progressie en survivability; alternatief bij offensieve opzet.,"tank, support, push",medium,variant and survivability dependent
2,Celeste,Healing / Support,War Domain,Life Domain,Healing/survival als je tank onder druk staat; anders support.,"healing, support, survival",high,safe default for early progression
2,Donaar,Gold / Support,Ohhh Yeah,Blessing focus,Gold voor farm/favor; utility/support voor push.,"gold, support, farming",medium,economy vs progression tradeoff
2,Korth,Speed / Utility,Rapid Training,Group Tactics,Pak de spec die je carry het beste bufft; vaak afhankelijk van adjacency/attack cadence.,"support, attack-speed, positional",medium,works around carry placement
2,Lae'zel,Speed / Utility,Speed route,Support route,Gebruik speed voor farming en snelle clears; wijk af als survival of specifieke utility belangrijker is.,"speed, farming",high,placeholder rule; review against champion-specific guide when available
2,Merilwen,Gold / Support,Gold route,Support route,Gold bij economy runs; support bij diepere pushes.,"gold, support, farming",medium,formation purpose decides
2,Presto,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
2,Regis,Support / Utility,Ahead,Behind,"Kies Ahead/Behind naar de kolom van je DPS; bij Ruby Weakness kies het attack-type van je BUD (melee/ranged/magic).","support, positional, push, attack-type",high,position-sensitive support; Ruby Weakness follows carry attack type
2,Solaak,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
2,Talin,Speed / Utility,Speed route,Control route,Speed voor farms; control/debuff voor lastige zones.,"speed, control, farming",medium,swap for harder variants
2,Widdle,Speed / Utility,Fast Friends,Healing/other,Speed bijna altijd voor farming; support/heal alleen als stabiliteit belangrijker is.,"speed, support, farming",high,common speed core pick
3,Artemis,DPS,Observe,Other scaling,Kies altijd de spec die zijn observe/scaling maximaliseert binnen je setup.,"dps, scaling, endgame",high,formation-specific carry logic
3,BBEG,Support / Utility,Control route,Support route,Meestal control/debuff voor utility; support als het beter schaalt met je comp.,"control, support, utility",low,situational utility pick
3,Binwin,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
3,Brig,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
3,Gromma,Tank / Debuff,Arctic,Mountain,Debuff/tank afhankelijk van encounter; kies de lijn die je push betrouwbaarder maakt.,"tank, debuff, push",high,common push slot option
3,Jaheira,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
3,Mehen,Support / Utility,Fiend route,Other route,Alleen echt sterk als je roster bij zijn synergie past; kies dus roster-afhankelijk.,"support, roster-dependent",low,needs specific companion synergies
3,Minthara,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
3,Nayeli,Tank / Support,Oath of Devotion,Oath of Vengeance,Gebruik support/tank voor standaard progressie; alternatief als je formation layout het beloont.,"tank, support, progression",medium,front/back positional concerns
3,Omin,Gold / Support,Gold route,Support route,Gold voor favor/gold teams; support voor standaard push.,"gold, support, farming",high,common economy support
3,Spurt,Support / Utility,Pack Tactics,Kobold Family,Neem meestal de sterkste support-optie; niche keuzes alleen voor specifieke synergie.,"support, niche",medium,value changes with death-cycle timing
4,Antrius,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
4,Baeloth,Support / Utility,Support route,Djinn route,Meestal support; utility-keuze als je death-prevention of specifieke interacties nodig hebt.,"support, utility, push",high,widely used support slot
4,Desmond,Support / Utility,Living on the Edge,Other route,Kies de route die het meeste uit defeated/dead synergie haalt; meestal support-georiënteerd.,"support, niche, push",medium,formation archetype dependent
4,Ishi,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
4,Jarlaxle,Gold / Support,Piracy,Damage route,Gold is bijna altijd de default voor farm/favor runs.,"gold, farming",high,classic economy pick
4,Karlach,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
4,Kent,Support / Utility,Support route,Ranged route,Support als veilige default; afwijken bij ranged-specifieke setup.,"support, ranged, niche",low,niche roster interaction
4,Orisha,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
4,Paultin,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
4,Sentry,Speed / Utility,Speed route,Tank route,Speed voor farming; tank/survival voor moeilijke content.,"speed, tank, farming",high,common speed formation inclusion
4,Stoki,Support / Utility,Support route,Stack route,Neem de lijn die meer support op je dps geeft; stacks alleen als setup dat ondersteunt.,"support, niche",medium,depends on hit/stun setup
5,Briv,Speed / Utility,Speed route,Tank route,Speed/jump voor gem farm en snelle clears; tank als je hem echt nodig hebt om te overleven.,"speed, tank, farming",high,top priority for automation rules
5,Calliope,Support / Utility,Valor,Lore,Meestal shielding/support voor stabiele progressie.,"shielding, support, progression",high,safe early/midgame support
5,Certainty,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
5,Dhadius,Support / Debuff,Support route,Debuff route,Spec kiezen op basis van wat je carry meer geeft; meestal support/debuff voor push.,"support, debuff, push",medium,push-oriented choice
5,Evandra,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
5,Prudence,DPS,DPS route,Utility route,"Als ze carry is, kies pure damage/scaling; anders meestal niet prioriteit.","dps, self-scaling",low,carry-specific
5,Pwent,Support / Utility,Support route,DPS route,Vrijwel altijd support tenzij je een vreemde niche comp draait.,"support, niche",low,rarely chosen as damage plan
5,Qillek,Healing / Support,Empowered Blessing,Other route,Gebruik meestal healing/support; alternatief alleen als offense belangrijker is.,"healing, support",medium,general-purpose healer support
5,Valentine,Gold / Support,Socialite gold,Support route,Gold in economy runs; support als ze vooral formatie-buffs levert.,"gold, support, farming",medium,economy vs push switch
5,Viconia,Support / Utility,Support route,Undead route,Neem undead-spec alleen als je team daar echt van profiteert.,"support, undead, niche",medium,synergy-dependent slot
5,Xander,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
6,Alyndra,Support / Utility,Support route,Positional route,Neem meestal support; alternatief als adjacency exact gunstig uitpakt.,"support, positional",medium,position-aware support
6,Asharra,Support / Utility,Potpourri/Bonds,Other bond route,Kies altijd de bond/spec die exact bij je huidige formation past.,"support, formation-dependent, push",high,rules engine should inspect species composition
6,Dungeon Master,Support / Utility,Utility route,Other route,Kies utility afhankelijk van doel; hij is vooral een enablement-slot.,"utility, support, variants",low,special-case champion
6,Evelyn,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
6,Fen,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
6,Krond,DPS,Damage route,Other route,"Als deze champion je carry is, kies de pure damage-route.",dps,low,placeholder rule; review against champion-specific guide when available
6,Krull,Support / Debuff,Pain,Traitor,Meestal de debuff/spec die het meeste BUD/push oplevert in je setup.,"debuff, push",high,boss and push optimization matters
6,Reya,Tank / Support,Tank route,Support route,Tank/spec in survivability-content; support als frontline al sterk genoeg is.,"tank, support, survival",low,variant dependent
6,Sgt. Knox,Tank / Support,Tank route,Support route,Meestal wat je formation mist: tankiness of extra support.,"tank, support",medium,flex frontliner
6,Shadowheart,Healing / Support,Healing route,Support route,Healing/survival wanneer sustain nodig is; anders support.,"healing, support, survival",medium,placeholder rule; review against champion-specific guide when available
6,Shandie,Speed / Utility,Dash,Other route,Speed is de standaardkeuze voor farming.,"speed, farming",high,default speed automation pick
7,Black Viper,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
7,Catti-brie,Support / Utility,Support route,Crit route,Neem de route die je carry sterker bufft; vaak support/crit afhankelijk van comp.,"support, crit",medium,good with ranged/carry comps
7,Egbert,Support / Utility,Support route,Control route,Gebruik support als default; control als encounter-management nodig is.,"support, control",low,niche utility
7,Freely,Gold / Support,Law/Chaos etc.,Alignment route,Kies de alignment/spec die je team het beste dekt; vaak voor favor/gold setups.,"gold, favor, alignment",high,rules should inspect alignment counts
7,Gazrick,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
7,Hew Maan,Speed / Utility,Speed route,Support route,Gebruik speed voor farming en snelle clears; wijk af als survival of specifieke utility belangrijker is.,"speed, farming",high,placeholder rule; review against champion-specific guide when available
7,Jim,DPS,Magic magic magic,Other route,Kies utility/damage afhankelijk van gebruik; vaak niche en setup-afhankelijk.,"utility, dps, niche",low,special transformation interactions
7,Lucius,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
7,Minsc,DPS,Humanoid/Beast etc.,Best enemy type,Kies altijd de enemy-type/spec die bij het avontuur of de zone past.,"dps, adventure-specific",medium,rules should map variant enemy types
7,Vin Ursa,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
7,Wyll,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
8,Beadle & Grimm,Gold / Support,Gold route,Support route,Gold voor farm; support voor push.,"gold, support, farming",medium,economy switch
8,Corazon,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
8,Delina,DPS,Damage route,Other route,Alleen damage kiezen; zij is vooral een basis-dps-optie.,dps,low,simple rule
8,Diana,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
8,Hitch,Support / Utility,High Cha route,Other route,Neem de route die het meeste charisma/synergie in je formatie benut.,"support, charisma",high,rules should count CHA-qualified champions
8,Nrakk,Support / Utility,Buff route,Race route,Kies de route die je belangrijkste support-interacties activeert.,"support, synergy",medium,stat/race interactions matter
8,Tatyana,Tank / Support,Tank route,Utility route,Tank voor survival; utility als haar pull/clear functie belangrijker is.,"tank, utility",medium,variant and clear style dependent
8,Vlahnya,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
8,Walnut,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
8,Warduke,DPS,DPS route,Evil route,Kies wat zijn eigen carry-potentie of evil-synergie het best ondersteunt.,"dps, synergy",low,roster-specific
9,Aila,Tank / Debuff,Tank route,Debuff route,Debuff/tank kiezen afhankelijk van push en survivability.,"tank, debuff, push",high,strong push support
9,Astarion,DPS / Support,Damage route,Support route,Carry = damage; anders support als je hem daarvoor inzet.,"dps, support",medium,role-dependent slot
9,Birdsong,DPS / Support,DPS route,Support route,"Kies op basis van rol: carry = damage, anders support.","dps, support",medium,stance/role dependent
9,Brother Uriah,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
9,Drizzt,DPS,DPS route,Other route,"Als je Drizzt gebruikt als carry, kies pure damage.",dps,low,carry-only relevance
9,Dynaheir,DPS / Support,Support route,DPS route,Support als default; damage alleen wanneer ze je carry is.,"support, dps",low,role-dependent slot
9,Lazaapz,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
9,Makos,Gold / Support,Dark Luck,Blessing route,Gold voor favor/farm; support/damage voor pushing.,"gold, support, farming",high,classic economy rule
9,Morgaen,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
9,Nordom,Support / Utility,Modron route,Other route,Gebruik als utility-champion volgens automation/modron-doel.,"utility, modron",medium,special-case automation piece
9,Shaka,Support / Utility,Support route,Puzzle route,Gebruik de route die je puzzle/formatie het beste laat landen.,"support, positional",medium,formation solver benefits
10,Astarion,DPS / Support,Damage route,Support route,Carry = damage; anders support als je hem daarvoor inzet.,"dps, support",medium,role-dependent slot
10,Barrowin,Healing / Support,Healing route,Support route,Healing wanneer sustain telt; support als fight al veilig is.,"healing, support",low,situational healer
10,Dob,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
10,Ellywick,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
10,Havilar,Tank / Support,Imp route,Tank route,Kies op basis van utility vs survivability.,"tank, utility",medium,variant-specific use
10,Rosie,DPS,Damage route,Other route,"Als deze champion je carry is, kies de pure damage-route.",dps,low,placeholder rule; review against champion-specific guide when available
10,Tyril,Tank / Support,Wild Shape,Moonbeam,Tank/spec voor frontlinie; damage/support afhankelijk van rol in formation.,"tank, support, progression",high,very common frontline pick
10,Ulkoria,Support / Utility,Magic route,Other route,Alleen goed wanneer je magic-heavy formatie draait; kies de spec die dat maximaliseert.,"support, magic, roster-dependent",medium,rules should inspect magic count
10,Virgil,Speed / Utility,Speed route,Support route,Speed voor farm; support voor push.,"speed, support, farming",medium,use-case dependent
10,Wulfgar,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
10,Yorven,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
11,Avren,Support / Utility,Good/Sturdy mirror path,Other mirror path,Kies de mirror/spec die op jouw dps en alignment setup de beste mirrors geeft.,"support, mirror, push",high,rules should inspect carry and mirror targets
11,Dragonbait,Tank / Support,Tank route,Support route,Kies tank/survival wanneer je frontlinie onder druk staat; anders de support-optie.,"tank, support, survival",medium,placeholder rule; review against champion-specific guide when available
11,Imoen,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
11,Jamilah,DPS,Bruiser,Other route,Kies damage als je haar gebruikt; anders meestal geen prioriteit.,dps,low,simple carry rule
11,Nova,Support / Utility,Support route,Tankier route,Meestal support/scaling voor push; tankier alternatief als nodig.,"support, scaling",high,popular support slot
11,Orisha,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
11,Rust,Gold / Support,Gold route,Support route,Gold in economy teams; support anders.,"gold, support, farming",medium,economy utility
11,Strix,Support / Debuff,Smelly Lunch,Olfactory Fatigue,"Meestal Smelly Lunch (Poor Hygiene ×5). Olfactory Fatigue alleen als je Power of Friendship wilt stacken; Scent of Brimstone bij veel Tieflings.","debuff, support",high,Gaarawarr default Smelly Lunch; avoid generic Damage-route placeholder
11,Strongheart,Support / Utility,Support route,Other route,Gebruik de support-optie die quest/progressie of push het best dient.,"support, utility",medium,season/quest utility may matter
11,The Dark Urge,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
11,Warden,Support / Debuff,Highest specter-cap route,Other route,"Kies de specter-cap met de meeste doelen in je formatie: Evil (Dark Hunger), DEX≥16 (Shadows), of CHA-hoogst (Charm).","debuff, push, formation-count",high,compare live Evil vs DEX16 vs CHA-highest counts
12,Arkhan,DPS,Usurp,Bulk Up,Kies de spec die exact past bij je Arkhan-formatie; vaak pure usurp-logica.,"dps, formation-dependent",medium,special formation rules
12,Azaka,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Commodore Krux,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Melf,Speed / Utility,Speed route,Push route,Speed bij farm; push-support bij diepere runs.,"speed, support, farming",high,common dual-purpose pick
12,Miria,Tank / Support,Tank route,Utility route,Tank als survivability telt; utility bij specifieke varianten.,"tank, utility",low,variant dependent
12,Nahara,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Penelope,Support / Utility,Support route,Control route,Support als default; control bij lastig encounter-patroon.,"support, control",medium,niche utility
12,Selise,Tank / Support,Tank route,Support route,Kies tank/survival wanneer je frontlinie onder druk staat; anders de support-optie.,"tank, support, survival",medium,placeholder rule; review against champion-specific guide when available
12,Vi,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Wren,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Xerophon,Support / Utility,Support route,Other route,"Gebruik meestal de support- of utility-keuze als veilige default; wijk alleen af als de formatie, run-doel of champion-rol daar duidelijk om vraagt.","support, generic",low,placeholder rule; review against champion-specific guide when available
12,Zorbu,DPS,Enemy type route,Other route,Kies de spec die bij de relevante enemy types en je Zorbu-doel past.,"dps, adventure-specific",high,rules should inspect enemy composition
